"","City","State","CityState"
"1270","Winslow","NJ","Winslow, NJ"
"1271","New Hope","MN","New Hope, MN"
"1272","Tahoka","TX","Tahoka, TX"
"1273","Wasco","CA","Wasco, CA"
"1274","Morenci","AZ","Morenci, AZ"
"1275","Sunset","TX","Sunset, TX"
"1276","Rosenberg","TX","Rosenberg, TX"
"1277","Wyoming","MI","Wyoming, MI"
"1278","Stillwater","OK","Stillwater, OK"
"1279","Katy","TX","Katy, TX"
"1280","Randallstown","MD","Randallstown, MD"
"1281","Hummelstown","PA","Hummelstown, PA"
"1282","Bay City","MI","Bay City, MI"
"1283","Emeryville","CA","Emeryville, CA"
"1284","Douglas","GA","Douglas, GA"
"1285","Electra","TX","Electra, TX"
"1286","Lorena","TX","Lorena, TX"
"1287","Chino","CA","Chino, CA"
"1288","Calimesa","CA","Calimesa, CA"
"1289","Gastonia","NC","Gastonia, NC"
"1290","New City","NY","New City, NY"
"1291","Nocona","TX","Nocona, TX"
"1292","Fairfax","VA","Fairfax, VA"
"1293","Smyrna Mills","ME","Smyrna Mills, ME"
"1294","Glenwood Springs","CO","Glenwood Springs, CO"
"1295","Dadeville","AL","Dadeville, AL"
"1296","Port St. Joe","FL","Port St. Joe, FL"
"1297","Reading","PA","Reading, PA"
"1298","Atwood","TN","Atwood, TN"
"1299","San Manuel","AZ","San Manuel, AZ"
"1300","Essex","MD","Essex, MD"
"1301","Iuka","MS","Iuka, MS"
"1302","Colton","OR","Colton, OR"
"1303","Marana","AZ","Marana, AZ"
"1304","Boise","ID","Boise, ID"
"1305","Provo","UT","Provo, UT"
"1306","Eaton Rapids Township","MI","Eaton Rapids Township, MI"
"1307","Tewksbury","MA","Tewksbury, MA"
"1308","Del Rio","TX","Del Rio, TX"
"1309","Euless","TX","Euless, TX"
"1310","Marysville","CA","Marysville, CA"
"1311","Capitan","NM","Capitan, NM"
"1312","Palm Bay","FL","Palm Bay, FL"
"1313","Coconut Creek","FL","Coconut Creek, FL"
"1314","Denham Springs","LA","Denham Springs, LA"
"1315","Clarkesville","GA","Clarkesville, GA"
"1316","Millbrook","AL","Millbrook, AL"
"1317","Sylvester","GA","Sylvester, GA"
"1318","Terre Haute","IN","Terre Haute, IN"
"1319","Pelzer","SC","Pelzer, SC"
"1320","Wellston","MO","Wellston, MO"
"1321","Columbia","MO","Columbia, MO"
"1322","Ehrenberg","AZ","Ehrenberg, AZ"
"1323","Grand Ledge","MI","Grand Ledge, MI"
"1324","Lucedale","MS","Lucedale, MS"
"1325","White Plains","MD","White Plains, MD"
"1326","Joliet","IL","Joliet, IL"
"1327","Deltona","FL","Deltona, FL"
"1328","Burbank","CA","Burbank, CA"
"1329","Melrose","FL","Melrose, FL"
"1330","Sulphur Springs","TX","Sulphur Springs, TX"
"1331","Penrose","NC","Penrose, NC"
"1332","Craig","CO","Craig, CO"
"1333","Port Wentworth","GA","Port Wentworth, GA"
"1334","Elkton","MD","Elkton, MD"
"1335","Bay Minette","AL","Bay Minette, AL"
"1336","Hoover","AL","Hoover, AL"
"1337","Napa","CA","Napa, CA"
"1338","Follansbee","WV","Follansbee, WV"
"1339","Kenosha","WI","Kenosha, WI"
"1340","Ruth","MS","Ruth, MS"
"1341","Branford","CT","Branford, CT"
"1342","Gaston","NC","Gaston, NC"
"1343","Dublin","NC","Dublin, NC"
"1344","Onalaska","TX","Onalaska, TX"
"1345","Rome","GA","Rome, GA"
"1346","Langtown","AL","Langtown, AL"
"1347","Middleton","ID","Middleton, ID"
"1348","Sumas","WA","Sumas, WA"
"1349","Munroe Falls","OH","Munroe Falls, OH"
"1350","Wapanucka","OK","Wapanucka, OK"
"1351","Lukachukai","AZ","Lukachukai, AZ"
"1352","Clarendon","NY","Clarendon, NY"
"1353","Harmony","IN","Harmony, IN"
"1354","Islip","NY","Islip, NY"
"1355","Portsmouth","VA","Portsmouth, VA"
"1356","Fond du Lac","WI","Fond du Lac, WI"
"1357","Johnsonville","SC","Johnsonville, SC"
"1358","Gardner","KS","Gardner, KS"
"1359","Wilmington","CA","Wilmington, CA"
"1360","Oxnard","CA","Oxnard, CA"
"1361","Fort Ashby","WV","Fort Ashby, WV"
"1362","Encinitas","CA","Encinitas, CA"
"1363","Webster","MA","Webster, MA"
"1364","Elizabethtown","KY","Elizabethtown, KY"
"1365","Peebles","OH","Peebles, OH"
"1366","Ceres","CA","Ceres, CA"
"1367","Culpeper","VA","Culpeper, VA"
"1368","Vineland","NJ","Vineland, NJ"
"1369","Fort George Meade","MD","Fort George Meade, MD"
"1370","Rock Island","IL","Rock Island, IL"
"1371","Metropolis","IL","Metropolis, IL"
"1372","Albany","NY","Albany, NY"
"1373","Winchester","VA","Winchester, VA"
"1374","Zion","IL","Zion, IL"
"1375","Edgewood","NM","Edgewood, NM"
"1376","North Charleston","SC","North Charleston, SC"
"1377","Muskogee County","OK","Muskogee County, OK"
"1378","Tehachapi","CA","Tehachapi, CA"
"1379","Harvey","LA","Harvey, LA"
"1380","Rigby","ID","Rigby, ID"
"1381","Tonasket","WA","Tonasket, WA"
"1382","Shawnee","OK","Shawnee, OK"
"1383","Valdosta","GA","Valdosta, GA"
"1384","Lake Isabella","CA","Lake Isabella, CA"
"1385","Monon","IN","Monon, IN"
"1386","Gettysburg","PA","Gettysburg, PA"
"1387","Boiling Springs","SC","Boiling Springs, SC"
"1388","Kellyville","OK","Kellyville, OK"
"1389","Corning","CA","Corning, CA"
"1390","Sand Springs","OK","Sand Springs, OK"
"1391","Newalla","OK","Newalla, OK"
"1392","Salemburg","NC","Salemburg, NC"
"1393","Affton","MO","Affton, MO"
"1394","Spartanburg","SC","Spartanburg, SC"
"1395","Carson City","CO","Carson City, CO"
"1396","Shafter","CA","Shafter, CA"
"1397","Rockwood","MI","Rockwood, MI"
"1398","Hagerstown","MD","Hagerstown, MD"
"1399","Wilmore","KY","Wilmore, KY"
"1400","Sidney","NE","Sidney, NE"
"1401","Mission","TX","Mission, TX"
"1402","Union","NJ","Union, NJ"
"1403","Bisbee","AZ","Bisbee, AZ"
"1404","Sylmar","CA","Sylmar, CA"
"1405","Rufe","OK","Rufe, OK"
"1406","Sebastopol","CA","Sebastopol, CA"
"1407","Miami","OK","Miami, OK"
"1408","Trinidad","CO","Trinidad, CO"
"1409","Victoria","TX","Victoria, TX"
"1410","Clermont","FL","Clermont, FL"
"1411","Bunch","OK","Bunch, OK"
"1412","Hanford","CA","Hanford, CA"
"1413","Marion","IL","Marion, IL"
"1414","Chickasha","OK","Chickasha, OK"
"1415","Elk Grove","CA","Elk Grove, CA"
"1416","Emporia","VA","Emporia, VA"
"1417","Smyrna","DE","Smyrna, DE"
"1418","Roosevelt","UT","Roosevelt, UT"
"1419","Chavies","KY","Chavies, KY"
"1420","Greenville","MS","Greenville, MS"
"1421","South El Monte","CA","South El Monte, CA"
"1422","Pulaski","VA","Pulaski, VA"
"1423","Wake Forest","NC","Wake Forest, NC"
"1424","Beacon","NY","Beacon, NY"
"1425","Cerritos","CA","Cerritos, CA"
"1426","Kearny","AZ","Kearny, AZ"
"1427","Constantania","NY","Constantania, NY"
"1428","Fridley","MN","Fridley, MN"
"1429","Landover","MD","Landover, MD"
"1430","St Augustine","FL","St Augustine, FL"
"1431","Enfield","NC","Enfield, NC"
"1432","Rancho Santa Margarita","CA","Rancho Santa Margarita, CA"
"1433","Portage","MI","Portage, MI"
"1434","Rockford","IL","Rockford, IL"
"1435","Ruidoso","NM","Ruidoso, NM"
"1436","Arlington","VA","Arlington, VA"
"1437","Cabot","AR","Cabot, AR"
"1438","Owensboro","KY","Owensboro, KY"
"1439","Green","OH","Green, OH"
"1440","Gillette","WY","Gillette, WY"
"1441","Hackensack","NJ","Hackensack, NJ"
"1442","Somerset","PA","Somerset, PA"
"1443","Green Ridge","MO","Green Ridge, MO"
"1444","Eagar","AZ","Eagar, AZ"
"1445","Snohomish","WA","Snohomish, WA"
"1446","Middletown","NJ","Middletown, NJ"
"1447","Edmond","OK","Edmond, OK"
"1448","Eatonton","GA","Eatonton, GA"
"1449","Alpine","CA","Alpine, CA"
"1450","Northglenn","CO","Northglenn, CO"
"1451","Carrollton","GA","Carrollton, GA"
"1452","Trenton","MI","Trenton, MI"
"1453","Lyndhurst","NJ","Lyndhurst, NJ"
"1454","Mounds","OK","Mounds, OK"
"1455","Louisa","KY","Louisa, KY"
"1456","Palestine","TX","Palestine, TX"
"1457","Roslindale","MA","Roslindale, MA"
"1458","Azle","TX","Azle, TX"
"1459","Waxahachie","TX","Waxahachie, TX"
"1460","Byram Township","NJ","Byram Township, NJ"
"1461","Los Lunas","NM","Los Lunas, NM"
"1462","Morgantown","WV","Morgantown, WV"
"1463","Pajaro","CA","Pajaro, CA"
"1464","Woodland","WA","Woodland, WA"
"1465","Beech Grove","IN","Beech Grove, IN"
"1466","Sun City","AZ","Sun City, AZ"
"1467","Findlay","OH","Findlay, OH"
"1468","Tomball","TX","Tomball, TX"
"1469","Columbia","TN","Columbia, TN"
"1470","Kokomo","IN","Kokomo, IN"
"1471","Hutchins","TX","Hutchins, TX"
"1472","South Lake Tahoe","CA","South Lake Tahoe, CA"
"1473","Fort Totten","ND","Fort Totten, ND"
"1474","Asbury Park","NJ","Asbury Park, NJ"
"1475","Clanton","AL","Clanton, AL"
"1476","McCalla","AL","McCalla, AL"
"1477","Jonesville","NC","Jonesville, NC"
"1478","Pittsburgh","PA","Pittsburgh, PA"
"1479","Hutchinson","KS","Hutchinson, KS"
"1480","Yorktown","VA","Yorktown, VA"
"1481","Friant","CA","Friant, CA"
"1482","Malone","NY","Malone, NY"
"1483","Tahlequah","OK","Tahlequah, OK"
"1484","Northville","NY","Northville, NY"
"1485","Franklin","NC","Franklin, NC"
"1486","Wolf Creek","OR","Wolf Creek, OR"
"1487","Weston","WV","Weston, WV"
"1488","Brockton","MA","Brockton, MA"
"1489","Meadow Bridge","WV","Meadow Bridge, WV"
"1490","Lancaster","CA","Lancaster, CA"
"1491","Camden","NJ","Camden, NJ"
"1492","Rowland Heights","CA","Rowland Heights, CA"
"1493","Morristown","TN","Morristown, TN"
"1494","Newport News","VA","Newport News, VA"
"1495","Pleasanton","CA","Pleasanton, CA"
"1496","Hawaiian Gardens","CA","Hawaiian Gardens, CA"
"1497","Bath","NH","Bath, NH"
"1498","Atwater","CA","Atwater, CA"
"1499","Lakewood","CA","Lakewood, CA"
"1500","Missouri City","TX","Missouri City, TX"
"1501","Edinburg","TX","Edinburg, TX"
"1502","Sugar Creek","MO","Sugar Creek, MO"
"1503","Crumpler","NC","Crumpler, NC"
"1504","Stonewall","MS","Stonewall, MS"
"1505","Parowan","UT","Parowan, UT"
"1506","Boulder Creek","CA","Boulder Creek, CA"
"1507","Stone Mountain","GA","Stone Mountain, GA"
"1508","River Forest","IL","River Forest, IL"
"1509","Plantation","FL","Plantation, FL"
"1510","Dunsmuir","CA","Dunsmuir, CA"
"1511","Mascotte","FL","Mascotte, FL"
"1512","Southington","OH","Southington, OH"
"1513","Marion","MI","Marion, MI"
"1514","Wauwatosa","WI","Wauwatosa, WI"
"1515","Chattanooga","TN","Chattanooga, TN"
"1516","Cheyenne","WY","Cheyenne, WY"
"1517","Opp","AL","Opp, AL"
"1518","Needles","CA","Needles, CA"
"1519","Colby","KS","Colby, KS"
"1520","Farmersville","CA","Farmersville, CA"
"1521","Olive Branch","MS","Olive Branch, MS"
"1522","Winnie","TX","Winnie, TX"
"1523","Choctaw","OK","Choctaw, OK"
"1524","NE White","GA","NE White, GA"
"1525","Oakland Park","FL","Oakland Park, FL"
"1526","Jesup","GA","Jesup, GA"
"1527","Monroe","WI","Monroe, WI"
"1528","Myrtle Beach","SC","Myrtle Beach, SC"
"1529","Douglas","WY","Douglas, WY"
"1530","Meadow Vista","CA","Meadow Vista, CA"
"1531","Plymouth","MN","Plymouth, MN"
"1532","Studio City","CA","Studio City, CA"
"1533","Pinnacle","NC","Pinnacle, NC"
"1534","Brinson","GA","Brinson, GA"
"1535","Micanopy","FL","Micanopy, FL"
"1536","Seneca","SC","Seneca, SC"
"1537","Manila","AR","Manila, AR"
"1538","Logan","UT","Logan, UT"
"1539","Gardnerville","NV","Gardnerville, NV"
"1540","Mt. Shasta","CA","Mt. Shasta, CA"
"1541","Worcester","MA","Worcester, MA"
"1542","Nitro","WV","Nitro, WV"
"1543","Palmyra","PA","Palmyra, PA"
"1544","Powhatan","VA","Powhatan, VA"
"1545","Muncie","IN","Muncie, IN"
"1546","Rantoul","IL","Rantoul, IL"
"1547","Greenfield","WI","Greenfield, WI"
"1548","Kahului","HI","Kahului, HI"
"1549","Richmond","VA","Richmond, VA"
"1550","Elsmere","KY","Elsmere, KY"
"1551","Superior","MT","Superior, MT"
"1552","Greenville","NC","Greenville, NC"
"1553","Summerville","SC","Summerville, SC"
"1554","Pittston","PA","Pittston, PA"
"1555","Odessa","TX","Odessa, TX"
"1556","Boerne","TX","Boerne, TX"
"1557","Spauldings","MD","Spauldings, MD"
"1558","Bolton","CT","Bolton, CT"
"1559","Inyokern","CA","Inyokern, CA"
"1560","Carson City","NV","Carson City, NV"
"1561","Hanover","IN","Hanover, IN"
"1562","Irwindale","CA","Irwindale, CA"
"1563","Kerrville","TX","Kerrville, TX"
"1564","Bloomfield Hills","MI","Bloomfield Hills, MI"
"1565","Hunters","WA","Hunters, WA"
"1566","Waynesville","NC","Waynesville, NC"
"1567","Beverly","OH","Beverly, OH"
"1568","Grapeview","WA","Grapeview, WA"
"1569","North East","MD","North East, MD"
"1570","Cohasset","MN","Cohasset, MN"
"1571","King George","VA","King George, VA"
"1572","New Albany","MS","New Albany, MS"
"1573","Troy","NY","Troy, NY"
"1574","Arab","AL","Arab, AL"
"1575","Brick","NJ","Brick, NJ"
"1576","Archdale","NC","Archdale, NC"
"1577","West Chester","PA","West Chester, PA"
"1578","Thonotosassa","FL","Thonotosassa, FL"
"1579","Hendersonville","TN","Hendersonville, TN"
"1580","Hixson","TN","Hixson, TN"
"1581","West Jordan","UT","West Jordan, UT"
"1582","Mt. Vernon","NY","Mt. Vernon, NY"
"1583","Loveland","CO","Loveland, CO"
"1584","Hamilton","GA","Hamilton, GA"
"1585","Twinsburg","OH","Twinsburg, OH"
"1586","Artesia","NM","Artesia, NM"
"1587","Weitchpec","CA","Weitchpec, CA"
"1588","Springtown","TX","Springtown, TX"
"1589","Merrimack","NH","Merrimack, NH"
"1590","French Lick","IN","French Lick, IN"
"1591","Girardville","PA","Girardville, PA"
"1592","Puryear","TN","Puryear, TN"
"1593","Fairbanks","AK","Fairbanks, AK"
"1594","North Pole","AK","North Pole, AK"
"1595","El Monte","CA","El Monte, CA"
"1596","Potsdam","NY","Potsdam, NY"
"1597","Downey","CA","Downey, CA"
"1598","Broomfield","CO","Broomfield, CO"
"1599","Sylacauga","AL","Sylacauga, AL"
"1600","Wellman","IA","Wellman, IA"
"1601","Pond Creek","OK","Pond Creek, OK"
"1602","Clute","TX","Clute, TX"
"1603","Eddyville","KY","Eddyville, KY"
"1604","Barstow","CA","Barstow, CA"
"1605","Chalmette","LA","Chalmette, LA"
"1606","Alexandria","LA","Alexandria, LA"
"1607","Lead","SD","Lead, SD"
"1608","Beaverton","MI","Beaverton, MI"
"1609","Brodhead","KY","Brodhead, KY"
"1610","Cumberland Furnace","TN","Cumberland Furnace, TN"
"1611","Marysville","WA","Marysville, WA"
"1612","Slidell","LA","Slidell, LA"
"1613","St. Stephens","AL","St. Stephens, AL"
"1614","Harrisonburg","VA","Harrisonburg, VA"
"1615","Shelbyville","IN","Shelbyville, IN"
"1616","Sand City","CA","Sand City, CA"
"1617","Barberville","FL","Barberville, FL"
"1618","Auburndale","FL","Auburndale, FL"
"1619","Haywood","CA","Haywood, CA"
"1620","Niceville","FL","Niceville, FL"
"1621","McKinney","TX","McKinney, TX"
"1622","Reisterstown","MD","Reisterstown, MD"
"1623","Troutdale","VA","Troutdale, VA"
"1624","Fountain","CO","Fountain, CO"
"1625","St Paul","MN","St Paul, MN"
"1626","Wilhoit","AZ","Wilhoit, AZ"
"1627","Lovington","NM","Lovington, NM"
"1628","Rossville","GA","Rossville, GA"
"1629","Ponder","TX","Ponder, TX"
"1630","North Miami","FL","North Miami, FL"
"1631","Mora","MN","Mora, MN"
"1632","Beckley","WV","Beckley, WV"
"1633","Rockport","TX","Rockport, TX"
"1634","Rialto","CA","Rialto, CA"
"1635","Hurst","TX","Hurst, TX"
"1636","Woodbridge Township","NJ","Woodbridge Township, NJ"
"1637","Monterey","CA","Monterey, CA"
"1638","Columbia","MD","Columbia, MD"
"1639","Aguanga","CA","Aguanga, CA"
"1640","Beverly","MA","Beverly, MA"
"1641","Old Saybrook","CT","Old Saybrook, CT"
"1642","Pinon Hills","CA","Pinon Hills, CA"
"1643","Lakeview","MI","Lakeview, MI"
"1644","Lisle","IL","Lisle, IL"
"1645","Lake Charles","LA","Lake Charles, LA"
"1646","Taylors","SC","Taylors, SC"
"1647","Brookhaven","MS","Brookhaven, MS"
"1648","Catersville","GA","Catersville, GA"
"1649","Naples","FL","Naples, FL"
"1650","Evergreen","AL","Evergreen, AL"
"1651","Kirkland","WA","Kirkland, WA"
"1652","Winder","GA","Winder, GA"
"1653","Columbus","MS","Columbus, MS"
"1654","Gardernville","NV","Gardernville, NV"
"1655","York","PA","York, PA"
"1656","Palm Beach","FL","Palm Beach, FL"
"1657","St. Cloud","MN","St. Cloud, MN"
"1658","Truth or Consequences","NM","Truth or Consequences, NM"
"1659","Mandeville","LA","Mandeville, LA"
"1660","Cedar Rapids","IA","Cedar Rapids, IA"
"1661","Wakarusa","KS","Wakarusa, KS"
"1662","Calexico","CA","Calexico, CA"
"1663","Kentwood","MI","Kentwood, MI"
"1664","Carmichael","CA","Carmichael, CA"
"1665","Pine Top","KY","Pine Top, KY"
"1666","Cathedral City","CA","Cathedral City, CA"
"1667","Zanesville","OH","Zanesville, OH"
"1668","Salem","WI","Salem, WI"
"1669","Sterling","AK","Sterling, AK"
"1670","New Paltz","NY","New Paltz, NY"
"1671","Talking Rock","GA","Talking Rock, GA"
"1672","Smithville","MS","Smithville, MS"
"1673","Hohenwald","TN","Hohenwald, TN"
"1674","Old Town","FL","Old Town, FL"
"1675","Forest Grove","OR","Forest Grove, OR"
"1676","Burkesville","KY","Burkesville, KY"
"1677","Fort Gibson","OK","Fort Gibson, OK"
"1678","Colorado Springs","CO","Colorado Springs, CO"
"1679","Opelika","AL","Opelika, AL"
"1680","Hutchinson","MN","Hutchinson, MN"
"1681","Council","ID","Council, ID"
"1682","Marksville","LA","Marksville, LA"
"1683","Hominy","OK","Hominy, OK"
"1684","Lakeshire","MO","Lakeshire, MO"
"1685","Wadesboro","NC","Wadesboro, NC"
"1686","Orlando","WV","Orlando, WV"
"1687","Oveido","FL","Oveido, FL"
"1688","Brighton","CO","Brighton, CO"
"1689","Dillon","MT","Dillon, MT"
"1690","Trenton","TN","Trenton, TN"
"1691","Eden","GA","Eden, GA"
"1692","Spring Lake","NC","Spring Lake, NC"
"1693","Dalton","GA","Dalton, GA"
"1694","Centerville","TX","Centerville, TX"
"1695","Cayce","SC","Cayce, SC"
"1696","Arlington","GA","Arlington, GA"
"1697","Little Egg Harbor Township","NJ","Little Egg Harbor Township, NJ"
"1698","Opa-locka","FL","Opa-locka, FL"
"1699","Benton Harbor","MI","Benton Harbor, MI"
"1700","Portage","IN","Portage, IN"
"1701","Dallas","GA","Dallas, GA"
"1702","Palmetto","GA","Palmetto, GA"
"1703","Colbert","OK","Colbert, OK"
"1704","Columbia Heights","MN","Columbia Heights, MN"
"1705","Ozark","MO","Ozark, MO"
"1706","Lampe","MO","Lampe, MO"
"1707","Seagoville","TX","Seagoville, TX"
"1708","Stewartsville","MO","Stewartsville, MO"
"1709","Wink","TX","Wink, TX"
"1710","Bangor","ME","Bangor, ME"
"1711","Norwalk","CA","Norwalk, CA"
"1712","Redlands","CA","Redlands, CA"
"1713","Deming","NM","Deming, NM"
"1714","Northwood","OH","Northwood, OH"
"1715","Big Springs","NE","Big Springs, NE"
"1716","Waverly","OH","Waverly, OH"
"1717","Neenah","WI","Neenah, WI"
"1718","Florissant","MO","Florissant, MO"
"1719","Richmond Heights","OH","Richmond Heights, OH"
"1720","Laramie","WY","Laramie, WY"
"1721","Yonkers","NY","Yonkers, NY"
"1722","Amherst","VA","Amherst, VA"
"1723","Leitchfield","KY","Leitchfield, KY"
"1724","Sportsmen Acres","OK","Sportsmen Acres, OK"
"1725","Marina","CA","Marina, CA"
"1726","Healdton","OK","Healdton, OK"
"1727","East Stroudsburg","PA","East Stroudsburg, PA"
"1728","Denton","TX","Denton, TX"
"1729","Olympia","WA","Olympia, WA"
"1730","Milan","TN","Milan, TN"
"1731","Gilroy","CA","Gilroy, CA"
"1732","Mt Hope","WV","Mt Hope, WV"
"1733","Middle River","MD","Middle River, MD"
"1734","Dallas","NC","Dallas, NC"
"1735","Camarillo","CA","Camarillo, CA"
"1736","Kent","OH","Kent, OH"
"1737","Taos","NM","Taos, NM"
"1738","Linthicum Heights","MD","Linthicum Heights, MD"
"1739","Concord","VA","Concord, VA"
"1740","Harrington","DE","Harrington, DE"
"1741","Danvers","NH","Danvers, NH"
"1742","Douglasville","GA","Douglasville, GA"
"1743","St Martinville","LA","St Martinville, LA"
"1744","Canaan Township","PA","Canaan Township, PA"
"1745","Smartsville","CA","Smartsville, CA"
"1746","Ludlow","KY","Ludlow, KY"
"1747","Winnsboro","LA","Winnsboro, LA"
"1748","Pride","LA","Pride, LA"
"1749","Lansing","MI","Lansing, MI"
"1750","Porterville","CA","Porterville, CA"
"1751","Palo Alto","CA","Palo Alto, CA"
"1752","Homedale","ID","Homedale, ID"
"1753","Franklin","LA","Franklin, LA"
"1754","Suffolk","VA","Suffolk, VA"
"1755","Santa Nella Village","CA","Santa Nella Village, CA"
"1756","Rawlins","WY","Rawlins, WY"
"1757","Livingston","MT","Livingston, MT"
"1758","Ragley","LA","Ragley, LA"
"1759","Tumwater","WA","Tumwater, WA"
"1760","Johnson City","TN","Johnson City, TN"
"1761","Carrizozo","NM","Carrizozo, NM"
"1762","Lake Geneva","WI","Lake Geneva, WI"
"1763","Rising Sun","MD","Rising Sun, MD"
"1764","Duncannon","PA","Duncannon, PA"
"1765","Cle Elum","WA","Cle Elum, WA"
"1766","Hurst","IL","Hurst, IL"
"1767","Elkins","WV","Elkins, WV"
"1768","El Cajon","CA","El Cajon, CA"
"1769","Petroleum","WV","Petroleum, WV"
"1770","Belle Glade","FL","Belle Glade, FL"
"1771","Holladay","UT","Holladay, UT"
"1772","Rainbow City","AL","Rainbow City, AL"
"1773","Port Barre","LA","Port Barre, LA"
"1774","Meridianville","AL","Meridianville, AL"
"1775","Harper","TX","Harper, TX"
"1776","Eufaula","OK","Eufaula, OK"
"1777","Hesperia","CA","Hesperia, CA"
"1778","Seneca","OR","Seneca, OR"
"1779","Mountain Pine","AR","Mountain Pine, AR"
"1780","Latta","SC","Latta, SC"
"1781","Lenoir City","TN","Lenoir City, TN"
"1782","Alvarado","TX","Alvarado, TX"
"1783","Oak Grove","OR","Oak Grove, OR"
"1784","Phenix","AL","Phenix, AL"
"1785","Immokalee","FL","Immokalee, FL"
"1786","Newark","CA","Newark, CA"
"1787","Carbondale","PA","Carbondale, PA"
"1788","Cordova","CA","Cordova, CA"
"1789","Rosebud","SD","Rosebud, SD"
"1790","Perry","OH","Perry, OH"
"1791","Hilo","HI","Hilo, HI"
"1792","Milton","FL","Milton, FL"
"1793","Harmony","NC","Harmony, NC"
"1794","Seaside","OR","Seaside, OR"
"1795","Kenton","OH","Kenton, OH"
"1796","Austin","AR","Austin, AR"
"1797","Toms River","NJ","Toms River, NJ"
"1798","Latham","NY","Latham, NY"
"1799","Abingdon","MD","Abingdon, MD"
"1800","Barrow","AK","Barrow, AK"
"1801","Roseville","MN","Roseville, MN"
"1802","Kemp","TX","Kemp, TX"
"1803","Maiden","NC","Maiden, NC"
"1804","Riverdale","GA","Riverdale, GA"
"1805","College Park","GA","College Park, GA"
"1806","Beckville","TX","Beckville, TX"
"1807","Arvonia","VA","Arvonia, VA"
"1808","Urbandale","IA","Urbandale, IA"
"1809","Yorba Linda","CA","Yorba Linda, CA"
"1810","Jal","NM","Jal, NM"
"1811","Donna","TX","Donna, TX"
"1812","Fairfield","CT","Fairfield, CT"
"1813","Republic","MO","Republic, MO"
"1814","Mena","AR","Mena, AR"
"1815","Reno","TX","Reno, TX"
"1816","Commerce","GA","Commerce, GA"
"1817","Elizabethton","TN","Elizabethton, TN"
"1818","Houston","AK","Houston, AK"
"1819","Fairborn","OH","Fairborn, OH"
"1820","West Haven","CT","West Haven, CT"
"1821","Ripon","CA","Ripon, CA"
"1822","Blue Springs","MO","Blue Springs, MO"
"1823","Bailey","CO","Bailey, CO"
"1824","East Troy","WI","East Troy, WI"
"1825","Montgomery","AL","Montgomery, AL"
"1826","Silver Springs","NV","Silver Springs, NV"
"1827","Hesston","KS","Hesston, KS"
"1828","Cave Spring","VA","Cave Spring, VA"
"1829","Floresville","TX","Floresville, TX"
"1830","Ashville","AL","Ashville, AL"
"1831","Gautier","MS","Gautier, MS"
"1832","Johnstown","PA","Johnstown, PA"
"1833","Selma","NC","Selma, NC"
"1834","Mount Ida","AR","Mount Ida, AR"
"1835","East Bernstadt","KY","East Bernstadt, KY"
"1836","Buffalo","NY","Buffalo, NY"
"1837","Bismarck","ND","Bismarck, ND"
"1838","Joliet","MT","Joliet, MT"
"1839","Biloxi","MS","Biloxi, MS"
"1840","Colorado City","CO","Colorado City, CO"
"1841","Rosalia","KS","Rosalia, KS"
"1842","Clinton","IL","Clinton, IL"
"1843","Birch Run","MI","Birch Run, MI"
"1844","Glendale","CA","Glendale, CA"
"1845","Piedmont","AL","Piedmont, AL"
"1846","Bowling Green","KY","Bowling Green, KY"
"1847","Russellville","KY","Russellville, KY"
"1848","Evansville","IN","Evansville, IN"
"1849","Lilesville","NC","Lilesville, NC"
"1850","Burnsville","MN","Burnsville, MN"
"1851","Midland","PA","Midland, PA"
"1852","Byron","CA","Byron, CA"
"1853","Idaho Falls","ID","Idaho Falls, ID"
"1854","Covington","LA","Covington, LA"
"1855","White Plains","KY","White Plains, KY"
"1856","Port Richey","FL","Port Richey, FL"
"1857","Fort Littleton","PA","Fort Littleton, PA"
"1858","Stamford","CT","Stamford, CT"
"1859","Palmetto Bay","FL","Palmetto Bay, FL"
"1860","Fredericksburg","VA","Fredericksburg, VA"
"1861","Braintree","MA","Braintree, MA"
"1862","Okaloosa Island","FL","Okaloosa Island, FL"
"1863","Lowell","MA","Lowell, MA"
"1864","Grundy","VA","Grundy, VA"
"1865","Lee's Summit","MO","Lee's Summit, MO"
"1866","Winslow","AZ","Winslow, AZ"
"1867","Kinston","NC","Kinston, NC"
"1868","Splendora","TX","Splendora, TX"
"1869","Aitkin","MN","Aitkin, MN"
"1870","Clearlake","CA","Clearlake, CA"
"1871","Jackson","GA","Jackson, GA"
"1872","Lockhart","TX","Lockhart, TX"
"1873","Notasulga","AL","Notasulga, AL"
"1874","Eau Claire","WI","Eau Claire, WI"
"1875","Raceland","LA","Raceland, LA"
"1876","West Springfield","MA","West Springfield, MA"
"1877","Oak Hill","OH","Oak Hill, OH"
"1878","Gallatin","TN","Gallatin, TN"
"1879","Lake Hallie","WI","Lake Hallie, WI"
"1880","New Brunswick","NJ","New Brunswick, NJ"
"1881","Rotterdam","NY","Rotterdam, NY"
"1882","Benton","IL","Benton, IL"
"1883","Noma","FL","Noma, FL"
"1884","Llano","TX","Llano, TX"
"1885","Sparta","TN","Sparta, TN"
"1886","Cache","OK","Cache, OK"
"1887","Antioch","IL","Antioch, IL"
"1888","Greenbelt","MD","Greenbelt, MD"
"1889","Perryville","AR","Perryville, AR"
